"YYYYMM","Total","Marine diesel oil","Marine gasoil","Low-S marine gasoil","Marine fuel oil","Low-sulphur fuel oil","Ultra-low-S fuel oil"
202110,4254.691000,0,39.120000,308.640000,1200.658000,2706.273000,0
202111,4221.596000,0,20.590000,304.935000,1230.577000,2665.494000,0
202112,4229.036000,0,21.223000,335.595000,1168.690000,2654.338000,0
202201,4029.200000,0,13.780000,336,1122.420000,2557,0
202202,3506.670000,0,10.570000,281,924.100000,2288,0
202203,3769.910000,0,9.700000,272,1091.210000,2397,0
202204,3749.360000,0,7.890000,279,978.470000,2484,0
202205,4043.570000,0,5.800000,301,1094.770000,2641,0
202206,3754.850000,0,6.890000,272,1120.960000,2353,0
202207,4119.350000,0,13.750000,314,1287.600000,2502,0
202208,4115.390000,0,11.340000,330,1263.050000,2511,0
202209,3959.560000,0,6.260000,329,1158.300000,2465,0
202210,4253.550000,0,11.080000,305,1348.470000,2587,0
202211,4376.140000,0,22.810000,308,1290.330000,2752,0
202212,4219.020000,0,20.620000,286,1312.400000,2597,0
202301,4378.330000,0,10.790000,313.670000,1251.120000,2801.310000,0
202302,3796.920000,0,6.210000,297.020000,1142.690000,2349.420000,0
202303,4178.950000,0,14.730000,315.490000,1267.980000,2577.110000,0
202304,4258.750000,0,15.330000,312.150000,1219.760000,2706.310000,0
202305,4525.330000,0,27.490000,312.920000,1445.670000,2732.190000,0
202306,3932.910000,0,11.960000,271.450000,1238.530000,2393.050000,0
202307,4517.540000,0,22.280000,287.580000,1484.500000,2704.620000,0
202308,4254.080000,0,8.050000,274.490000,1393.010000,2562.990000,0
202309,4263.580000,0,20.350000,264.970000,1472.680000,2497.870000,0
202310,4401.540000,0,35.690000,297.830000,1453.440000,2598.510000,0
202311,4265.460000,0,25.840000,288.520000,1542.350000,2401.600000,0
202312,5050.640000,0,24.800000,311.620000,1810.560000,2894.410000,0
202401,4906.100000,0,13.467000,316.982000,1658.822000,2906.409000,0
202402,4509.332000,0,14.440000,296.840000,1600.984000,2570.185000,0
202403,4445.074172,0,5.145000,310.012000,1605.406000,2485.890000,0
202404,4235.164429,0,9.660000,277.446000,1600.482000,2312.018000,0
202405,4826.837000,0.291000,14.308000,330.955000,1743.089000,2687.816000,0
202406,4274.915000,0,7.962000,278.803000,1560.081000,2376.407000,0
202407,4653.754000,0,1.803000,293.785000,1786.857000,2528.133000,0
202408,4559.451804,0,7.113000,301.130000,1706.018000,2499.600734,0
202409,4383.053420,0.666510,11.643050,334.697310,1656.534590,2340.404210,2.200750
202410,4877.666880,0.450000,7.980700,350.031770,1835.270340,2630.403900,2.953170
202411,4462.224000,0,0.533000,339.962000,1596.540000,2497.688000,0
202412,4790.028140,0,3.413000,327.465000,1887.101000,2523.739000,0
202501,4487.913920,0,3.135559,256.507241,1671.315301,2523.275240,0.878529
202502,4145.108098,0,8.928172,305.713070,1646.522363,2150.145950,0
202503,4469.164980,0,0.070007,333.519767,1670.468780,2425.583203,0.498055
202504,4404.433806,0,0,315.946508,1733.427966,2312.055739,0.708432
202505,4878.138802,0,1.688750,344.658484,1933.643707,2550.056470,1.196931
202506,4594.710801,0,4.486079,364.117502,1742.523473,2425.340758,1.895217
202507,4918.024050,0,3.867120,417.762760,1999.704100,2452.569140,0
202508,4965.262160,0,1.752850,370.454890,1926.532850,2594.774040,0
202509,4765.085180,0,0.306940,373.561470,1916.060800,2422.180470,0
202510,4817.736080,0,2.251150,392.002010,1877.671810,2483.415290,0
